Reporter,Year,Unit,GDP
Cote d'Ivoire,1999,US$,1.26E+10
Cote d'Ivoire,2000,US$,1.07E+10
Cote d'Ivoire,2001,US$,1.12E+10
Cote d'Ivoire,2002,US$,1.23E+10
Cote d'Ivoire,2003,US$,1.53E+10
Cote d'Ivoire,2004,US$,1.66E+10
Cote d'Ivoire,2005,US$,1.71E+10
Cote d'Ivoire,2006,US$,1.78E+10
Cote d'Ivoire,2007,US$,2.03E+10
Cote d'Ivoire,2008,US$,2.42E+10
Cote d'Ivoire,2009,US$,2.43E+10
Cote d'Ivoire,2010,US$,2.63E+10
Cote d'Ivoire,2011,US$,2.86E+10
Cote d'Ivoire,2012,US$,3.15E+10
Cote d'Ivoire,2013,US$,3.88E+10
Cote d'Ivoire,2014,US$,4.63E+10
Cote d'Ivoire,2015,US$,4.58E+10
Cote d'Ivoire,2016,US$,4.80E+10
Cote d'Ivoire,2017,US$,5.16E+10
Cote d'Ivoire,2018,US$,5.80E+10
Cote d'Ivoire,2019,US$,5.85E+10
Ghana,1999,US$,1.64E+10
Ghana,2000,US$,1.06E+10
Ghana,2001,US$,1.13E+10
Ghana,2002,US$,1.31E+10
Ghana,2003,US$,1.62E+10
Ghana,2004,US$,1.88E+10
Ghana,2005,US$,2.28E+10
Ghana,2006,US$,2.70E+10
Ghana,2007,US$,3.28E+10
Ghana,2008,US$,3.78E+10
Ghana,2009,US$,3.44E+10
Ghana,2010,US$,4.26E+10
Ghana,2011,US$,5.24E+10
Ghana,2012,US$,5.55E+10
Ghana,2013,US$,6.33E+10
Ghana,2014,US$,5.36E+10
Ghana,2015,US$,4.92E+10
Ghana,2016,US$,5.50E+10
Ghana,2017,US$,5.90E+10
Ghana,2018,US$,6.55E+10
Ghana,2019,US$,6.70E+10
Netherlands,1999,US$,4.47E+11
Netherlands,2000,US$,4.16E+11
Netherlands,2001,US$,4.31E+11
Netherlands,2002,US$,4.72E+11
Netherlands,2003,US$,5.79E+11
Netherlands,2004,US$,6.57E+11
Netherlands,2005,US$,6.85E+11
Netherlands,2006,US$,7.33E+11
Netherlands,2007,US$,8.47E+11
Netherlands,2008,US$,9.48E+11
Netherlands,2009,US$,8.68E+11
Netherlands,2010,US$,8.47E+11
Netherlands,2011,US$,9.04E+11
Netherlands,2012,US$,8.39E+11
Netherlands,2013,US$,8.77E+11
Netherlands,2014,US$,8.91E+11
Netherlands,2015,US$,7.65E+11
Netherlands,2016,US$,7.84E+11
Netherlands,2017,US$,8.34E+11
Netherlands,2018,US$,9.14E+11
Netherlands,2019,US$,9.07E+11
Germany,1999,US$,2.19E+12
Germany,2000,US$,1.94E+12
Germany,2001,US$,1.94E+12
Germany,2002,US$,2.07E+12
Germany,2003,US$,2.50E+12
Germany,2004,US$,2.81E+12
Germany,2005,US$,2.85E+12
Germany,2006,US$,2.99E+12
Germany,2007,US$,3.42E+12
Germany,2008,US$,3.73E+12
Germany,2009,US$,3.40E+12
Germany,2010,US$,3.40E+12
Germany,2011,US$,3.74E+12
Germany,2012,US$,3.53E+12
Germany,2013,US$,3.73E+12
Germany,2014,US$,3.88E+12
Germany,2015,US$,3.36E+12
Germany,2016,US$,3.47E+12
Germany,2017,US$,3.68E+12
Germany,2018,US$,3.96E+12
Germany,2019,US$,3.86E+12
United Kingdom of Great Britain and Northern Ireland,1999,US$,1.68E+12
United Kingdom of Great Britain and Northern Ireland,2000,US$,1.66E+12
United Kingdom of Great Britain and Northern Ireland,2001,US$,1.64E+12
United Kingdom of Great Britain and Northern Ireland,2002,US$,1.78E+12
United Kingdom of Great Britain and Northern Ireland,2003,US$,2.05E+12
United Kingdom of Great Britain and Northern Ireland,2004,US$,2.41E+12
United Kingdom of Great Britain and Northern Ireland,2005,US$,2.53E+12
United Kingdom of Great Britain and Northern Ireland,2006,US$,2.71E+12
United Kingdom of Great Britain and Northern Ireland,2007,US$,3.09E+12
United Kingdom of Great Britain and Northern Ireland,2008,US$,2.92E+12
United Kingdom of Great Britain and Northern Ireland,2009,US$,2.41E+12
United Kingdom of Great Britain and Northern Ireland,2010,US$,2.48E+12
United Kingdom of Great Britain and Northern Ireland,2011,US$,2.66E+12
United Kingdom of Great Britain and Northern Ireland,2012,US$,2.70E+12
United Kingdom of Great Britain and Northern Ireland,2013,US$,2.78E+12
United Kingdom of Great Britain and Northern Ireland,2014,US$,3.07E+12
United Kingdom of Great Britain and Northern Ireland,2015,US$,2.93E+12
United Kingdom of Great Britain and Northern Ireland,2016,US$,2.69E+12
United Kingdom of Great Britain and Northern Ireland,2017,US$,2.66E+12
United Kingdom of Great Britain and Northern Ireland,2018,US$,2.86E+12
United Kingdom of Great Britain and Northern Ireland,2019,US$,2.83E+12
United States,1999,US$,9.63E+12
United States,2000,US$,1.03E+13
United States,2001,US$,1.06E+13
United States,2002,US$,1.09E+13
United States,2003,US$,1.15E+13
United States,2004,US$,1.22E+13
United States,2005,US$,1.30E+13
United States,2006,US$,1.38E+13
United States,2007,US$,1.45E+13
United States,2008,US$,1.47E+13
United States,2009,US$,1.44E+13
United States,2010,US$,1.50E+13
United States,2011,US$,1.55E+13
United States,2012,US$,1.62E+13
United States,2013,US$,1.68E+13
United States,2014,US$,1.75E+13
United States,2015,US$,1.82E+13
United States,2016,US$,1.87E+13
United States,2017,US$,1.95E+13
United States,2018,US$,2.06E+13
United States,2019,US$,2.14E+13
Malaysia,1999,US$,7.91E+10
Malaysia,2000,US$,9.38E+10
Malaysia,2001,US$,9.28E+10
Malaysia,2002,US$,1.01E+11
Malaysia,2003,US$,1.10E+11
Malaysia,2004,US$,1.25E+11
Malaysia,2005,US$,1.44E+11
Malaysia,2006,US$,1.63E+11
Malaysia,2007,US$,1.94E+11
Malaysia,2008,US$,2.31E+11
Malaysia,2009,US$,2.02E+11
Malaysia,2010,US$,2.55E+11
Malaysia,2011,US$,2.98E+11
Malaysia,2012,US$,3.14E+11
Malaysia,2013,US$,3.23E+11
Malaysia,2014,US$,3.38E+11
Malaysia,2015,US$,3.01E+11
Malaysia,2016,US$,3.01E+11
Malaysia,2017,US$,3.19E+11
Malaysia,2018,US$,3.59E+11
Malaysia,2019,US$,3.65E+11
Belgium,1999,US$,2.58E+11
Belgium,2000,US$,2.36E+11
Belgium,2001,US$,2.37E+11
Belgium,2002,US$,2.57E+11
Belgium,2003,US$,3.17E+11
Belgium,2004,US$,3.69E+11
Belgium,2005,US$,3.86E+11
Belgium,2006,US$,4.08E+11
Belgium,2007,US$,4.70E+11
Belgium,2008,US$,5.15E+11
Belgium,2009,US$,4.81E+11
Belgium,2010,US$,4.81E+11
Belgium,2011,US$,5.23E+11
Belgium,2012,US$,4.96E+11
Belgium,2013,US$,5.22E+11
Belgium,2014,US$,5.35E+11
Belgium,2015,US$,4.62E+11
Belgium,2016,US$,4.76E+11
Belgium,2017,US$,5.03E+11
Belgium,2018,US$,5.44E+11
Belgium,2019,US$,5.33E+11
France,1999,US$,1.49E+12
France,2000,US$,1.36E+12
France,2001,US$,1.38E+12
France,2002,US$,1.49E+12
France,2003,US$,1.84E+12
France,2004,US$,2.12E+12
France,2005,US$,2.20E+12
France,2006,US$,2.32E+12
France,2007,US$,2.66E+12
France,2008,US$,2.92E+12
France,2009,US$,2.69E+12
France,2010,US$,2.64E+12
France,2011,US$,2.86E+12
France,2012,US$,2.68E+12
France,2013,US$,2.81E+12
France,2014,US$,2.85E+12
France,2015,US$,2.44E+12
France,2016,US$,2.47E+12
France,2017,US$,2.60E+12
France,2018,US$,2.79E+12
France,2019,US$,2.72E+12
Italy,1999,US$,1.25E+12
Italy,2000,US$,1.14E+12
Italy,2001,US$,1.17E+12
Italy,2002,US$,1.27E+12
Italy,2003,US$,1.57E+12
Italy,2004,US$,1.80E+12
Italy,2005,US$,1.86E+12
Italy,2006,US$,1.95E+12
Italy,2007,US$,2.21E+12
Italy,2008,US$,2.40E+12
Italy,2009,US$,2.19E+12
Italy,2010,US$,2.13E+12
Italy,2011,US$,2.29E+12
Italy,2012,US$,2.09E+12
Italy,2013,US$,2.14E+12
Italy,2014,US$,2.16E+12
Italy,2015,US$,1.84E+12
Italy,2016,US$,1.88E+12
Italy,2017,US$,1.96E+12
Italy,2018,US$,2.09E+12
Italy,2019,US$,2.00E+12
Poland,1999,US$,1.70E+11
Poland,2000,US$,1.72E+11
Poland,2001,US$,1.91E+11
Poland,2002,US$,1.99E+11
Poland,2003,US$,2.18E+11
Poland,2004,US$,2.55E+11
Poland,2005,US$,3.06E+11
Poland,2006,US$,3.45E+11
Poland,2007,US$,4.29E+11
Poland,2008,US$,5.34E+11
Poland,2009,US$,4.40E+11
Poland,2010,US$,4.80E+11
Poland,2011,US$,5.28E+11
Poland,2012,US$,4.99E+11
Poland,2013,US$,5.21E+11
Poland,2014,US$,5.42E+11
Poland,2015,US$,4.78E+11
Poland,2016,US$,4.73E+11
Poland,2017,US$,5.27E+11
Poland,2018,US$,5.87E+11
Poland,2019,US$,5.96E+11